0,28,14,8,10,47,33,20,31,19,18,32,36,48,24
1,30,44,45,12,15,5,29,22,46,25,42,23,32,18
2,39,16,37,11,21,7,38,35,9,36,48,40,27,46
3,26,41,13,6,34,49,17,43,24,42,31,9,27,25
4,48,40,43,27,33,29,22,19,49,21,23,18,24,20
5,44,29,32,18,45,30,14,25,12,23,15,33,4,20
6,49,41,42,25,17,43,24,26,13,12,22,34,40,4
7,37,46,23,21,35,15,40,22,11,39,16,48,4,38
8,47,36,28,20,19,33,14,48,10,38,35,31,0,32
9,34,27,21,16,17,40,38,13,43,48,37,41,26,4
10,47,33,31,28,24,18,14,19,43,8,4,13,20,48
11,38,36,35,39,37,21,48,16,19,20,7,2,23,27
12,45,44,42,25,30,29,22,15,49,5,46,1,6,18
13,43,41,34,26,31,24,27,17,49,6,4,9,19,40
14,33,32,18,28,20,10,8,47,5,0,29,4,48,19
15,46,45,30,23,22,29,7,44,12,40,5,32,42,35
16,39,37,21,9,2,38,11,27,7,40,35,48,36,34
17,40,41,43,42,34,49,27,22,6,9,4,13,26,21
18,33,29,32,25,24,4,14,5,10,49,43,20,31,47
19,48,47,38,31,27,36,33,4,8,20,43,21,35,10
20,32,35,48,36,33,23,8,19,4,14,47,38,11,18
21,40,38,48,37,35,27,11,16,7,4,9,46,23,19
22,46,42,40,45,29,15,4,12,17,25,23,49,21,7
23,46,35,32,20,15,29,7,4,48,22,40,21,45,37
24,43,49,31,25,18,13,10,41,4,33,6,42,47,17
25,49,42,29,18,12,24,6,22,4,43,45,41,44,17
26,41,34,13,3,17,6,43,49,9,27,24,42,31,40
27,43,48,40,21,9,19,4,38,34,17,13,31,41,47
28,10,47,8,33,0,14,31,19,20,18,32,36,24,48
29,45,44,5,25,32,22,18,12,4,23,46,42,15,30
30,45,44,1,15,12,29,5,22,46,23,25,42,32,18
31,47,10,43,19,24,13,33,27,4,48,49,28,18,41
32,20,14,29,18,5,23,33,4,48,35,44,46,45,25
33,47,10,18,14,20,32,4,28,31,19,48,8,24,43
34,9,13,26,17,27,41,43,40,49,31,21,4,6,24
35,48,23,11,20,36,21,38,37,7,46,4,19,40,32
36,11,38,35,20,48,19,8,47,21,33,4,27,23,39
37,7,39,21,16,11,35,2,38,46,40,23,48,36,9
38,11,48,21,19,36,27,35,16,39,37,4,20,40,9
39,2,37,11,16,38,21,35,7,36,48,9,27,40,23
40,21,4,22,17,27,46,48,43,42,9,23,49,35,7
41,6,49,26,13,43,17,34,24,42,25,27,31,40,4
42,49,25,22,6,17,12,40,41,43,29,45,4,24,46
43,24,49,13,4,27,41,31,17,40,34,42,48,25,19
44,5,30,45,29,12,1,15,25,32,22,18,23,46,42
45,12,30,15,29,22,44,46,42,23,25,5,1,40,4
46,23,15,22,7,40,45,29,21,35,4,48,37,42,32
47,19,31,33,10,8,28,48,20,4,36,43,27,24,14
48,4,19,38,35,21,27,20,36,40,33,23,47,11,43
49,42,25,6,43,24,41,17,4,13,22,40,18,29,31
